No,File,Month,Day,Behavior,TrackID,time, time_start,time_end,type
1,DJI_20250214081318_0002_S_wildboar1,2,14,resting_day,1,8:13:18,,,point
2,DJI_20250214082047_0004_S_wildboars2,2,14,resting_day,2,8:20:56,,,point
3,DJI_20250221073452_0001_S,2,21,resting_day,3,7:34:53,,,point
4,DJI_20250221073452_0001_S,2,21,resting_day,4,7:35:13,,,point
5,DJI_20250221083704_0003_S,2,21,resting_day,5,8:37:31,,,point
6,DJI_20250221084206_0005_S,2,21,resting_day,3,8:42:09,,,point
7,DJI_20250221083704_0003_S,2,21,resting_day,5,8:50:17,,,point
8,DJI_20250227161358_0003_S,2,27,resting_day,6,16:14:03,,,point
9,DJI_20250227161509_0004_S,2,27,resting_day,7,16:15:16,,,point
10,DJI_20250227161841_0006_S,2,27,resting_day,6,16:19:19,,,point
11,DJI_20250227165818_0009_S,2,27,foraging,8,16:58:38,,,point
12,DJI_20250227171404_0012_S,2,27,resting_night,9,17:14:09,,,point
13,DJI_20250227172031_0014_S,2,27,foraging,10,17:20:40,,,point
14,DJI_20250227172031_0014_S,2,27,foraging,11,17:21:03,,,point
15,DJI_20250227172253_0016_S,2,27,foraging,11,17:23:11,,,point
16,DJI_20250227172706_0018_S,2,27,traveling,11,17:27:07,,,point
17,DJI_20250227172829_0019_S,2,27,foraging,10,17:28:29,,,point
18,DJI_20250227173031_0020_S,2,27,foraging,10,17:30:32,,,point
19,DJI_20250227173126_0021_S,2,27,foraging,10,17:30:27,,,point
20,DJI_20250227173437_0022_S,2,27,traveling,10,17:34:43,,,point
21,DJI_20250227173736_0023_S,2,27,traveling,10,17:38:06,,,point
22,DJI_20250227180109_0026_S,2,27,traveling,12,18:01:14,,,point
23,DJI_20250227180109_0026_S,2,27,traveling,12,18:01:44,,,point
24,DJI_20250227180109_0026_S,2,27,traveling,12,18:01:58,,,point
25,DJI_20250227180109_0026_S,2,27,traveling,12,18:05:53,,,point
26,DJI_20250227180334_0027_S,2,27,foraging,12,18:03:34,,,point
27,DJI_20250307070728_0001_S,3,7,resting_day,13,7:07:32,,,point
28,DJI_20250307071503_0003_S,3,7,resting_day,14,7:15:03,,,point
29,DJI_20250307072932_0007_S_deck,3,7,resting_day,15,7:29:44,,,point
30,DJI_20250307073132_0008_S,3,7,traveling,15,7:31:41,,,point
31,DJI_20250307073610_0009_S,3,7,resting_day,15,7:36:11,,,point
32,DJI_20250307073610_0009_S,3,7,traveling,15,7:37:27,,,point
33,DJI_20250307073610_0009_S,3,7,traveling,15,7:38:58,,,point
34,DJI_20250307073610_0009_S,3,7,traveling,15,7:40:01,,,point
35,DJI_20250307074109_0011_S,3,7,traveling,15,7:42:00,,,point
36,DJI_20250307074236_0012_S,3,7,traveling,15,7:43:28,,,point
37,DJI_20250307074236_0012_S,3,7,resting_day,15,7:46:15,,,point
38,DJI_20250307080409_0020_S,3,7,resting_day,15,8:04:15,,,point
39,DJI_20250307082644_0021_S,3,7,resting_day,14,8:26:47,,,point
40,DJI_20250307083241_0022_S,3,7,resting_day,16,8:32:44,,,point
41,DJI_20250307105605_0001_S,3,7,resting_day,15,10:56:10,,,point
42,DJI_20250307110420_0002_S,3,7,resting_day,17,11:04:20,,,point
43,DJI_20250307111124_0003_S,3,7,resting_day,15,11:13:18,,,point
44,DJI_20250307111343_0004_S,3,7,resting_day,15,11:14:47,,,point
45,DJI_20250307111515_0005_S,3,7,resting_day,15,11:15:15,,,point
46,DJI_20250307113343_0008_S,3,7,traveling,15,11:35:04,,,point
47,DJI_20250307113343_0008_S,3,7,resting_day,15,11:37:19,,,point
48,DJI_20250402184522_0001_S_wildboars_3,4,2,traveling,18,,18:45:52,18:45:52,interval
49,DJI_20250402184522_0001_S_wildboars_3,4,2,traveling,18,,18:46:15,18:46:46,interval
50,DJI_20250402184522_0001_S_wildboars_3,4,2,traveling,19,,18:46:52,18:47:00,interval
51,DJI_20250402184522_0001_S_wildboars_3,4,2,traveling,20,,18:47:01,18:47:04,interval
52,DJI_20250402184522_0001_S_wildboars_3,4,2,traveling,18,,18:47:19,18:47:24,interval
53,DJI_20250402184522_0001_S_wildboars_3,4,2,foraging,18,,18:47:25,18:47:52,interval
54,DJI_20250402184522_0001_S_wildboars_3,4,2,traveling,19,,18:48:04,18:48:04,interval
55,DJI_20250402184522_0001_S_wildboars_3,4,2,traveling,19,,18:48:05,18:48:40,interval
56,DJI_20250402184522_0001_S_wildboars_3,4,2,traveling,18,,18:48:57,18:49:42,interval
57,DJI_20250402184522_0001_S_wildboars_3,4,2,traveling,20,,18:50:24,18:50:44,interval
58,DJI_20250402184522_0001_S_wildboars_3,4,2,foraging,20,,18:50:45,18:52:56,interval
59,DJI_20250402184522_0001_S_wildboars_3,4,2,traveling,18,,18:52:57,18:57:20,interval
60,DJI_20250402184522_0001_S_wildboars_3,4,2,traveling,18,,18:57:24,18:57:53,interval
61,DJI_20250402184522_0001_S_wildboars_3,4,2,traveling,19,,18:57:57,18:58:26,interval
62,DJI_20250402184522_0001_S_wildboars_3,4,2,resting_night,18,,18:58:37,18:58:42,interval
63,DJI_20250402184522_0001_S_wildboars_3,4,2,foraging,19,,18:58:55,19:00:00,interval
64,DJI_20250402184522_0001_S_wildboars_3,4,2,resting_night,18,,19:00:01,19:00:11,interval
65,DJI_20250402190047_0002_S,4,2,resting_night,19,,19:00:48,19:01:27,interval
66,DJI_20250402191604_0005_S,4,2,traveling,20,,19:16:04,19:18:22,interval
67,DJI_20250402191604_0005_S,4,2,traveling,20,,19:16:40,19:20:09,interval
68,DJI_20250402191604_0005_S,4,2,resting_night,20,,19:20:10,19:20:57,interval
69,DJI_20250402191604_0005_S,4,2,traveling,19,,19:21:17,19:22:34,interval
70,DJI_20250402191604_0005_S,4,2,resting_night,19,,19:22:57,19:24:34,interval
71,DJI_20250402193102_0007_S,4,2,foraging,21,,19:31:02,19:31:37,interval
72,DJI_20250402193102_0007_S,4,2,traveling,22,,19:32:07,19:36:15,interval
73,DJI_20250402201108_0001_S,4,2,foraging,23,,20:11:52,20:22:41,interval
74,DJI_20250402201108_0001_S,4,2,traveling,23,,20:22:41,20:22:54,interval
75,DJI_20250402201108_0001_S,4,2,foraging,24,,20:11:52,20:21:57,interval
76,DJI_20250402201108_0001_S,4,2,resting_night,24,,20:21:58,20:22:14,interval
77,DJI_20250402201108_0001_S,4,2,traveling,23,,20:24:24,20:24:24,interval
78,DJI_20250402201108_0001_S,4,2,foraging,24,,20:23:35,20:31:21,interval
79,DJI_20250402203848_0002_S,4,2,foraging,23,,20:40:12,20:45:24,interval
80,DJI_20250402203848_0002_S,4,2,resting_night,24,,20:41:20,20:41:20,interval
81,DJI_20250402203848_0002_S,4,2,resting_night,24,,20:41:54,20:41:57,interval
82,DJI_20250402203848_0002_S,4,2,resting_night,25,,20:42:24,20:42:32,interval
83,DJI_20250402203848_0002_S,4,2,traveling,23,,20:45:23,20:46:30,interval
84,DJI_20250402203848_0002_S,4,2,traveling,23,,20:54:15,20:54:15,interval
85,DJI_20250402203848_0002_S,4,2,resting_night,25,,20:54:30,20:54:30,interval
86,DJI_20250402203848_0002_S,4,2,resting_night,24,,20:54:48,20:54:48,interval
87,DJI_20250402203848_0002_S,4,2,traveling,24,,20:57:54,20:57:58,interval
88,DJI_20250402203848_0002_S,4,2,resting_night,25,,20:58:05,20:58:07,interval
89,DJI_20250402203848_0002_S,4,2,resting_night,24,,20:58:10,20:58:10,interval
90,DJI_20250402203848_0002_S,4,2,resting_night,26,,20:58:15,20:58:15,interval
91,DJI_20250402213056_0003_S,4,2,traveling,27,,21:30:56,21:31:45,interval
92,DJI_20250402213056_0003_S,4,2,foraging,27,,21:31:59,21:32:45,interval
93,DJI_20250402213747_0004_S,4,2,foraging,27,,21:37:48,21:41:45,interval
94,DJI_20250402214646_0006_S,4,2,resting_night,28,,21:46:46,21:47:00,interval
95,DJI_20250402214845_0007_S,4,2,resting_night,29,,21:49:59,21:51:27,interval
96,DJI_20250402220040_0008_S,4,2,resting_night,30,,22:00:40,22:00:46,interval
97,DJI_20250402220758_0009_S,4,2,foraging,31,,22:07:58,22:08:45,interval
98,DJI_20250402220758_0009_S,4,2,traveling,32,,22:12:24,22:13:15,interval
99,DJI_20250402220758_0009_S,4,2,traveling,33,,22:14:03,22:14:03,interval
100,DJI_20250402220758_0009_S,4,2,traveling,33,,22:15:12,22:15:31,interval
101,DJI_20250402220758_0009_S,4,2,traveling,31,,22:17:54,22:21:11,interval
102,DJI_20250402222121_0010_S,4,2,traveling,31,,22:21:21,22:24:08,interval
103,DJI_20250402222121_0010_S,4,2,traveling,31,,22:24:55,22:26:42,interval
104,DJI_20250402222121_0010_S,4,2,traveling,31,,22:26:45,22:27:55,interval
105,DJI_20250402222121_0010_S,4,2,foraging,31,,22:29:41,22:29:54,interval
106,DJI_20250402223852_0011_S,4,2,foraging,32,,22:38:53,22:39:13,interval
107,DJI_20250402225138_0013_S,4,2,foraging,33,,22:51:50,22:52:16,interval
108,DJI_20250402225253_0014_S,4,2,foraging,33,,22:52:54,22:53:30,interval
109,DJI_20250402225253_0014_S,4,2,foraging,33,,22:56:11,22:58:32,interval
110,DJI_20250402225839_0015_S,4,2,foraging,33,,22:58:40,22:59:16,interval
111,DJI_20250403202835_0001_S,4,3,traveling,34,,20:28:56,20:29:22,interval
112,DJI_20250403202835_0001_S,4,3,foraging,35,,20:29:45,20:29:57,interval
113,DJI_20250403202835_0001_S,4,3,foraging,34,,20:30:09,20:30:17,interval
114,DJI_20250403203207_0002_S,4,3,foraging,36,,20:32:08,20:32:49,interval
115,DJI_20250403203207_0002_S,4,3,traveling,36,,20:34:34,20:35:30,interval
116,DJI_20250403203207_0002_S,4,3,traveling,36,,20:35:41,20:36:21,interval
117,DJI_20250403203207_0002_S,4,3,traveling,37,,20:36:44,20:36:55,interval
118,DJI_20250403203207_0002_S,4,3,traveling,37,,20:37:03,20:37:12,interval
119,DJI_20250403203207_0002_S,4,3,traveling,37,,20:37:24,20:37:44,interval
120,DJI_20250403203207_0002_S,4,3,traveling,36,,20:37:45,20:37:55,interval
121,DJI_20250403203207_0002_S,4,3,traveling,36,,20:37:56,20:38:12,interval
122,DJI_20250403203207_0002_S,4,3,foraging,36,,20:38:13,20:38:34,interval
123,DJI_20250403203207_0002_S,4,3,traveling,38,,20:38:36,20:38:47,interval
124,DJI_20250403203207_0002_S,4,3,traveling,36,,20:39:12,20:39:56,interval
125,DJI_20250403203207_0002_S,4,3,traveling,36,,20:40:09,20:42:54,interval
126,DJI_20250403203207_0002_S,4,3,traveling,36,,20:42:55,20:47:20,interval
127,DJI_20250403203207_0002_S,4,3,foraging,39,,20:47:37,20:47:40,interval
128,DJI_20250403203207_0002_S,4,3,foraging,36,,20:47:45,20:47:58,interval
129,DJI_20250403203207_0002_S,4,3,foraging,36,,20:47:59,20:48:07,interval
130,DJI_20250403203207_0002_S,4,3,foraging,36,,20:48:14,20:48:26,interval
131,DJI_20250403203207_0002_S,4,3,foraging,36,,20:48:50,20:49:18,interval
132,DJI_20250403203207_0002_S,4,3,foraging,36,,20:49:21,20:49:32,interval
133,DJI_20250403203207_0002_S,4,3,foraging,36,,20:49:40,20:50:24,interval
134,DJI_20250403203207_0002_S,4,3,foraging,36,,20:51:14,20:51:52,interval
135,DJI_20250403203207_0002_S,4,3,foraging,36,,20:51:53,20:52:20,interval
136,DJI_20250403203207_0002_S,4,3,foraging,36,,20:52:30,20:53:01,interval
137,DJI_20250403203207_0003_S,4,3,foraging,36,,20:53:01,20:53:07,interval
138,DJI_20250403203207_0004_S,4,3,foraging,36,,21:02:37,21:04:45,interval
139,DJI_20250403203207_0004_S,4,3,foraging,36,,21:04:46,21:04:58,interval
140,DJI_20250403203207_0004_S,4,3,traveling,36,,21:04:59,21:05:03,interval
141,DJI_20250403203207_0004_S,4,3,foraging,36,,21:05:04,21:05:26,interval
142,DJI_20250403203207_0004_S,4,3,foraging,36,,21:05:27,21:05:52,interval
143,DJI_20250403203207_0004_S,4,3,foraging,36,,21:05:53,21:07:24,interval
144,DJI_20250403203207_0004_S,4,3,traveling,36,,21:07:25,21:07:51,interval
145,DJI_20250403203207_0004_S,4,3,foraging,36,,21:08:13,21:08:28,interval
146,DJI_20250403203207_0004_S,4,3,foraging,36,,21:08:43,21:09:12,interval
147,DJI_20250403203207_0004_S,4,3,traveling,36,,21:09:34,21:09:55,interval
148,DJI_20250403203207_0004_S,4,3,foraging,36,,21:09:56,21:10:39,interval
149,DJI_20250403203207_0004_S,4,3,traveling,36,,21:10:40,21:12:01,interval
150,DJI_20250403203207_0004_S,4,3,traveling,36,,21:12:17,21:12:27,interval
151,DJI_20250403203207_0004_S,4,3,traveling,37,,21:12:40,21:13:15,interval
152,DJI_20250403203207_0004_S,4,3,traveling,36,,21:13:19,21:17:07,interval
153,DJI_20250403211724_0005_S,4,3,traveling,39,,21:17:27,21:17:35,interval
154,DJI_20250403211724_0005_S,4,3,foraging,39,,21:17:36,21:21:01,interval
155,DJI_20250403211724_0005_S,4,3,traveling,39,,21:21:02,21:21:05,interval
156,DJI_20250403211724_0005_S,4,3,foraging,40,,21:21:35,21:22:12,interval
157,DJI_20250403211724_0005_S,4,3,foraging,39,,21:24:08,21:25:11,interval
158,DJI_20250403213306_0006_S,4,3,foraging,40,,21:25:24,21:25:32,interval
159,DJI_20250403213306_0008_S,4,3,resting_night,41,,21:33:19,21:33:28,interval
160,DJI_20250403213417_0009_S,4,3,traveling,42,,21:34:50,21:34:50,interval
161,DJI_20250403213417_0009_S,4,3,foraging,43,,21:34:58,21:35:45,interval
162,DJI_20250403213417_0009_S,4,3,foraging,43,,21:36:02,21:37:12,interval
163,DJI_20250403213417_0009_S,4,3,traveling,43,,21:37:37,21:38:27,interval
164,DJI_20250403213417_0009_S,4,3,traveling,43,,21:38:43,21:38:53,interval
165,DJI_20250403213417_0009_S,4,3,foraging,43,,21:38:21,21:38:40,interval
166,DJI_20250403213417_0009_S,4,3,foraging,43,,21:38:59,21:42:35,interval
167,DJI_20250403213417_0009_S,4,3,foraging,42,,21:42:45,21:42:48,interval
168,DJI_20250403213417_0009_S,4,3,foraging,42,,21:43:25,21:44:07,interval
169,DJI_20250403213417_0009_S,4,3,traveling,44,,21:44:14,21:45:39,interval
170,DJI_20250403213417_0009_S,4,3,foraging,44,,21:45:40,21:46:10,interval
171,DJI_20250403213417_0009_S,4,3,foraging,42,,21:46:20,21:47:46,interval
172,DJI_20250403213417_0009_S,4,3,resting_night,44,,21:47:52,21:47:52,interval
173,DJI_20250403213417_0009_S,4,3,foraging,43,,21:49:45,21:50:16,interval
174,DJI_20250403213417_0009_S,4,3,foraging,44,,21:51:14,21:52:01,interval
175,DJI_20250403213417_0009_S,4,3,foraging,44,,21:52:07,21:52:21,interval
176,DJI_20250403213417_0009_S,4,3,foraging,44,,21:52:54,21:53:37,interval
177,DJI_20250403213417_0009_S,4,3,foraging,44,,21:54:17,21:54:51,interval
178,DJI_20250403213417_0009_S,4,3,foraging,44,,21:54:52,21:55:04,interval
179,DJI_20250403213417_0009_S,4,3,foraging,44,,21:55:05,21:56:06,interval
180,DJI_20250403213417_0010_S,4,3,foraging,44,,21:56:07,21:56:52,interval
181,DJI_20250403213417_0010_S,4,3,foraging,44,,21:56:53,21:57:13,interval
182,DJI_20250403213417_0010_S,4,3,foraging,44,,21:57:14,21:57:39,interval
183,DJI_20250403220615_0011_S,4,3,traveling,45,,22:06:37,22:15:41,interval
184,DJI_20250403220615_0011_S,4,3,foraging,45,,22:16:24,22:23:45,interval
185,DJI_20250403222803_0013_S,4,3,foraging,46,,22:29:17,22:30:31,interval
186,DJI_20250403223953_0015_S,4,3,foraging,47,,22:39:53,22:40:09,interval
187,DJI_20250403223953_0015_S,4,3,traveling,47,,22:40:10,22:43:47,interval
188,DJI_20250403223953_0015_S,4,3,foraging,47,,22:43:48,22:45:04,interval
189,DJI_20250403223953_0015_S,4,3,traveling,47,,22:45:05,22:45:58,interval
190,DJI_20250403223953_0015_S,4,3,traveling,47,,22:46:12,22:46:49,interval
191,DJI_20250403223953_0015_S,4,3,resting_night,47,,22:46:49,22:47:03,interval
192,DJI_20250403223953_0015_S,4,3,traveling,47,,22:47:04,22:53:47,interval
193,DJI_20250403223953_0015_S,4,3,foraging,47,,22:53:47,22:54:19,interval
194,DJI_20250403223953_0015_S,4,3,traveling,47,,22:54:20,22:58:02,interval
195,DJI_20250403223953_0015_S,4,3,resting_night,47,,22:58:03,22:58:23,interval
196,DJI_20250403223953_0015_S,4,3,traveling,47,,22:58:24,22:58:32,interval
197,DJI_20250403223953_0015_S,4,3,foraging,47,,22:58:33,22:58:43,interval
198,DJI_20250403223953_0016_S,4,3,traveling,47,,22:58:44,22:58:56,interval
199,DJI_20250403223953_0016_S,4,3,foraging,47,,22:58:57,22:59:25,interval
200,DJI_20250403223953_0016_S,4,3,traveling,47,,22:59:26,23:01:41,interval
201,DJI_20250403223953_0016_S,4,3,foraging,47,,23:01:42,23:01:56,interval
202,DJI_20250403223953_0016_S,4,3,traveling,47,,23:01:57,23:03:01,interval
203,DJI_20250403223953_0016_S,4,3,foraging,47,,23:03:02,23:04:42,interval
204,DJI_20250403231046_0017_S,4,3,traveling,48,,23:10:49,23:11:11,interval
205,DJI_20250403231046_0017_S,4,3,foraging,48,,23:11:12,23:11:51,interval
206,DJI_20250403231859_0019_S,4,3,foraging,49,,23:23:40,23:28:01,interval
207,DJI_20250403232846_0020_S,4,3,foraging,49,,23:28:46,23:32:23,interval
208,DJI_20250403232846_0020_S,4,3,foraging,50,,23:32:36,23:37:15,interval
209,DJI_20250403233329_0022_S,4,3,foraging,49,,23:33:29,23:35:05,interval
210,DJI_20250403233536_0023_S,4,3,foraging,49,,23:35:36,23:37:26,interval
211,DJI_20250408182814_0001_S,4,8,traveling,50,,18:28:14,18:28:44,interval
212,DJI_20250408182814_0001_S,4,8,traveling,50,,18:28:49,18:29:38,interval
213,DJI_20250408182945_0002_S,4,8,traveling,50,,18:29:45,18:40:25,interval
214,DJI_20250408184520_0003_S,4,8,traveling,51,,18:45:43,18:46:30,interval
215,DJI_20250408184520_0003_S,4,8,traveling,51,,18:46:46,18:46:55,interval
216,DJI_20250408184520_0003_S,4,8,traveling,51,,18:47:09,18:50:25,interval
217,DJI_20250408184520_0003_S,4,8,foraging,51,,18:50:26,18:52:13,interval
218,DJI_20250408184520_0003_S,4,8,traveling,51,,18:52:14,19:01:59,interval
219,DJI_20250408184520_0004_S,4,8,resting_night,51,,19:02:00,19:04:00,interval
220,DJI_20250408184520_0004_S,4,8,traveling,51,,19:04:24,19:08:47,interval
221,DJI_20250408184520_0004_S,4,8,traveling,51,,19:09:46,19:11:33,interval
